
"[Term SqrtAbs (fromList [(1,-2),(14,2),(24,2)]),Term SqrtAbs (fromList [(22,2),(24,2)])]","[-8.52558105762099e-2,-4.181506229473857e-5,1.4400397892547768e-4]","-8.52558105762099e-2 + -4.181506229473857e-5*sqrtAbs(x[:,1]**(-2)*x[:,14]**(2)*x[:,24]**(2)) + 1.4400397892547768e-4*sqrtAbs(x[:,22]**(2)*x[:,24]**(2))"
"[Term Id (fromList [(3,2),(18,2),(20,2),(22,1),(25,2)]),Term SqrtAbs (fromList [(3,1),(7,-1)])]","[-0.23730540760121543,5.884386039041623e-4,-10.335294084363165]","-0.23730540760121543 + 5.884386039041623e-4*(x[:,3]**(2)*x[:,18]**(2)*x[:,20]**(2)*x[:,22]*x[:,25]**(2)) + -10.335294084363165*sqrtAbs(x[:,3]*x[:,7]**(-1))"
