name,time,RMSE_train,RMSE_test,MAE_train,MAE_test,NMSE_train,NMSE_test,r2_train,r2_test,expr
results/I_26_2_0.05,19,0.11156932028179628,6.483333446630014e-2,8.775421992549322e-2,4.4783782069433106e-2,4.5823269115196165e-2,2.0857784998271223e-2,0.9541767308848038,0.9791422150017288,sin(x1) + sqrt.abs(x0^(3)*x1^(3)) + exp(x0) + id(x1^(2))
results/I_26_2_0.05,29,0.1121386281222759,6.0175858823406765e-2,8.653551224229565e-2,4.185218657809002e-2,4.629210956592225e-2,1.796867541845869e-2,0.9537078904340778,0.9820313245815413,sqrt.abs(x0^(3)*x1^(2)) + sqrt.abs(x0^(3)*x1) + sin(x1) + id(x1^(2))
results/I_26_2_0.05,22,0.11656705222053841,3.714379384774894e-2,8.900943505387834e-2,2.5160981771404117e-2,5.0020510873114266e-2,6.846111845170449e-3,0.9499794891268858,0.9931538881548295,id(x0*x1^(2)) + id(x0*x1^(3)) + sin(x0*x1^(-2)) + sqrt.abs(x0^(2)*x1^(-1))
results/I_26_2_0.05,20,0.11367879857615555,3.0756148370624514e-2,9.037042862278928e-2,1.7802620659601125e-2,4.7572441968557665e-2,4.693916546883918e-3,0.9524275580314423,0.9953060834531161,sqrt.abs(x0^(2)*x1^(3)) + id(x0*x1^(2)) + cos(x0^(3)*x1^(-1)) + id(x0*x1^(3))
results/I_26_2_0.05,22,0.11367879857615555,3.0756148370624514e-2,9.037042862278928e-2,1.7802620659601125e-2,4.7572441968557665e-2,4.693916546883918e-3,0.9524275580314423,0.9953060834531161,sqrt.abs(x0^(2)*x1^(3)) + id(x0*x1^(2)) + cos(x0^(3)*x1^(-1)) + id(x0*x1^(3))
results/I_26_2_0.05,22,0.11156932028179628,6.483333446630062e-2,8.775421992549318e-2,4.47837820694331e-2,4.582326911519617e-2,2.085778499827152e-2,0.9541767308848038,0.9791422150017285,sqrt.abs(x0^(3)*x1^(3)) + sin(x1) + exp(x0) + id(x1^(2))
results/I_26_2_0.05,21,0.11367879857615582,3.075614837062161e-2,9.037042862278899e-2,1.7802620659602062e-2,4.757244196855788e-2,4.693916546883032e-3,0.9524275580314421,0.995306083453117,cos(x0^(3)*x1^(-1)) + id(x0*x1^(2)) + sqrt.abs(x0^(2)*x1^(3)) + id(x0*x1^(3))
results/I_26_2_0.05,24,0.1121386281222759,6.0175858823406765e-2,8.653551224229565e-2,4.185218657809002e-2,4.629210956592225e-2,1.796867541845869e-2,0.9537078904340778,0.9820313245815413,sqrt.abs(x0^(3)*x1^(2)) + sqrt.abs(x0^(3)*x1) + sin(x1) + id(x1^(2))
results/I_26_2_0.05,29,0.11156932028179632,6.483333446630057e-2,8.775421992549313e-2,4.478378206943309e-2,4.582326911519621e-2,2.0857784998271497e-2,0.9541767308848038,0.9791422150017285,id(x1^(2)) + sqrt.abs(x0^(3)*x1^(3)) + exp(x0) + sin(x1)
results/I_26_2_0.05,19,0.1121386281222759,6.0175858823406765e-2,8.653551224229565e-2,4.185218657809002e-2,4.629210956592225e-2,1.796867541845869e-2,0.9537078904340778,0.9820313245815413,sqrt.abs(x0^(3)*x1^(2)) + sqrt.abs(x0^(3)*x1) + sin(x1) + id(x1^(2))
